JD,X,Y,Z,VX,VY,VZ
2460869.40000000,1.0563855241255608e-01,-4.1134289405553384e+00,2.7175514003489132e-01,-1.3851961349052510e-02,3.2718526350324441e-02,-1.4823552425923536e-03
2460869.50000000,1.0425335402753895e-01,-4.1101570009901049e+00,2.7160689877289651e-01,-1.3852005626511805e-02,3.2720263897588017e-02,-1.4824699638901824e-03
2460869.60000000,1.0286815123874084e-01,-4.1068848875299766e+00,2.7145864602807768e-01,-1.3852049424255206e-02,3.2722004249198924e-02,-1.4825848991615654e-03
2460869.70000000,1.0148294409425804e-01,-4.1036125998941984e+00,2.7131038177900918e-01,-1.3852092739785389e-02,3.2723747411575521e-02,-1.4827000489693533e-03
2460869.80000000,1.0009773264888773e-01,-4.1003401378166116e+00,2.7116210600489982e-01,-1.3852135570592752e-02,3.2725493391146193e-02,-1.4828154138777166e-03
2460869.90000000,9.8712516938327319e-02,-4.0970675009846937e+00,2.7101381868283014e-01,-1.3852177914156149e-02,3.2727242194381979e-02,-1.4829309944543025e-03
2460870.00000000,9.7327297017878192e-02,-4.0937946891309984e+00,2.7086551979189555e-01,-1.3852219767941635e-02,3.2728993827747882e-02,-1.4830467912670181e-03
2460870.10000000,9.5942072936645334e-02,-4.0905217019721842e+00,2.7071720931044391e-01,-1.3852261129403198e-02,3.2730748297735396e-02,-1.4831628048861858e-03
2460870.20000000,9.4556844743988969e-02,-4.0872485392242650e+00,2.7056888721676597e-01,-1.3852301995982497e-02,3.2732505610854445e-02,-1.4832790358840148e-03
2460870.30000000,9.3171612495976261e-02,-4.0839752006178447e+00,2.7042055348978578e-01,-1.3852342365108608e-02,3.2734265773625246e-02,-1.4833954848340646e-03
2460870.40000000,9.1786376229580593e-02,-4.0807016858371430e+00,2.7027220810629798e-01,-1.3852382234198716e-02,3.2736028792611158e-02,-1.4835121523134225e-03
2460870.50000000,9.0401136001385732e-02,-4.0774279946114573e+00,2.7012385104511144e-01,-1.3852421600656913e-02,3.2737794674369589e-02,-1.4836290388994563e-03
